Title,Authors,DOI,DOI link,Venue,Citation count,Year,Study Design,"Reasoning for ""Study Design""",Animal Population and Model Induction,"Reasoning for ""Animal Population and Model Induction""","Experimental Interventions ","Reasoning for ""Experimental Interventions """,Outcomes (Primary and Secondary),"Reasoning for ""Outcomes (Primary and Secondary)""",Control Interventions,"Reasoning for ""Control Interventions""",Primary Research Type,"Reasoning for ""Primary Research Type""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
"Discovery of Trace Amine-Associated Receptor 1 (TAAR1) Agonist 2-(5-(4′-Chloro-[1,1′-biphenyl]-4-yl)-4H-1,2,4-triazol-3-yl)ethan-1-amine (LK00764) for the Treatment of Psychotic Disorders",-,10.3390/biom12111650,https://doi.org/10.3390/biom12111650,Biomolecules,1,2022,yes,"The study includes in vivo controlled experiments using rats, which meets the criterion for in vivo controlled experiments.",yes,"The study uses appropriate animal models of psychosis, including MK-801-induced hyperactivity (NMDA antagonist model), DAT-KO rats (genetic model), and stress-induced hyperthermia, which meet the criterion for induced psychosis-like features.",yes,"The study investigates a specific TAAR1 agonist (LK00764) with demonstrated agonist activity, which meets the criterion for investigating compounds/medications acting as TAAR1 agonists.",maybe,"The study includes locomotor activity as one of the primary outcomes, which matches one of the required co-primary outcomes. However, it's unclear if prepulse inhibition (PPI) was measured.",maybe,"While the abstract doesn't explicitly detail all control conditions, it implies comparison against vehicle conditions in the in vivo tests, but there's some uncertainty about the exact control conditions used.",yes,"This is clearly an original experimental study using animal models, meeting this criterion.",Include,"The study presents an in vivo experimental investigation using animal models of psychosis, specifically examining a novel TAAR1 agonist with demonstrated efficacy in multiple behavioral tests. While the research meets most screening criteria, there is some uncertainty regarding the comprehensive measurement of all required primary outcomes, particularly the prepulse inhibition assessment. The experimental design involves controlled interventions with rats subjected to various psychosis-like conditions, suggesting a rigorous approach to investigating potential pharmacological interventions.",4.3
Biological evaluation and in silico studies of novel compounds as potent TAAR1 agonists that could be used in schizophrenia treatment,"Yunjie Wang, Zhaofeng Liu, Jing Lu, Wenyan Wang, Lin Wang, Yifei Yang, Hongbo Wang, L. Ye, Jianzhao Zhang, Jingwei Tian",10.3389/fphar.2023.1161964,https://doi.org/10.3389/fphar.2023.1161964,Frontiers in Pharmacology,4,2023,yes,"The study includes in vivo controlled experiments using mice, as evidenced by the behavioral studies and pharmacological interventions.",yes,"The study uses an MK801-induced schizophrenia-like behavior model in mice, which is a valid animal model of psychosis.",yes,"The study investigates TAAR1 agonists (compounds 50A and 50B), which are specifically designed to act on TAAR1 receptors. The abstract mentions they tested for TAAR1 agonistic activity and compared effects.",maybe,"The abstract doesn't explicitly mention the two co-primary outcomes specified in the criteria (locomotor activity and PPI). While it mentions ""schizophrenia-like behavior"" and ""catalepsy,"" these don't clearly align with the required primary outcomes.",maybe,"While the abstract mentions testing for ""schizophrenia-like behavior,"" it doesn't explicitly state the control conditions used. However, given the experimental nature and the mention of evaluating ""adverse effects"" and ""catalepsy assay,"" it's likely that appropriate controls were used, but this isn't completely clear from the abstract alone.",yes,This is clearly an original experimental study using animal models.,Include,"An experimental study using an MK801-induced schizophrenia-like behavior model in mice investigated TAAR1 agonists, demonstrating potential therapeutic interventions for schizophrenia. While the research meets several key screening criteria, significant uncertainty exists regarding the specific primary outcome measures and control conditions. The study provides promising insights into potential antipsychotic treatments through novel TAAR1 agonist compounds.",3.5
The Case for TAAR1 as a Modulator of Central Nervous System Function,"G. Rutigliano, A. Accorroni, R. Zucchi",10.3389/fphar.2017.00987,https://doi.org/10.3389/fphar.2017.00987,Frontiers in Pharmacology,130,2018,no,"The abstract does not describe a specific controlled experiment. While it mentions some experimental findings, it appears to be more of a review of TAAR1's role and various studies. There's no clear description of an in vivo controlled experiment.",no,"While the abstract mentions TAAR1 knockout mice and some behavioral observations, it doesn't describe specific psychosis model induction. The mice described weren't subjected to psychosis-like feature induction through psychostimulants or NMDA antagonists.",no,"The abstract discusses TAAR1 agonists broadly but doesn't investigate specific TAAR1 agonist compounds as interventions. Instead, it focuses on endogenous amines and other substances that are explicitly excluded by the criteria.",no,"While the abstract mentions locomotor response to amphetamine (related to one primary outcome), it doesn't specifically measure this in the context of TAAR1 agonist intervention. PPI is not mentioned. Some secondary outcomes like behavioral measures are touched upon, but not in the required experimental context.",no,"The abstract doesn't describe appropriate control groups as specified in the criteria. While knockout mice are mentioned, they aren't used in the context required by the criteria (i.e., as controls for psychosis models receiving TAAR1 agonists).",no,This appears to be a review paper rather than an original experimental study. The abstract synthesizes various findings and discusses the current state of knowledge rather than presenting new experimental data.,Exclude,"The abstract represents a comprehensive review of TAAR1 research rather than an original experimental study, lacking the required controlled in vivo experimental design with psychosis model induction. Critical screening criteria were not met, including absence of specific TAAR1 agonist interventions, appropriate control groups, and primary/secondary outcomes related to psychosis models in animal research. The manuscript fundamentally does not align with the systematic review's stringent methodological requirements.",0.1
Molecular imaging studies of the striatal dopaminergic system in psychosis and predictions for the prodromal phase of psychosis.,"O. Howes, A. Montgomery, M. Asselin, R. Murray, P. Grasby, P. McGuire",10.1192/bjp.191.51.s13,https://doi.org/10.1192/bjp.191.51.s13,The British journal of psychiatry. Supplement,158,2007,no,"The abstract describes a selective review of molecular imaging studies, not in vivo controlled experiments. This clearly fails to meet the first criterion.",no,"The abstract focuses on human studies (""people with psychotic illnesses"") and does not mention any animal models of psychosis. This fails to meet the second criterion.",no,There is no mention of TAAR1 agonists or any experimental interventions. The paper focuses on reviewing dopamine system studies. This fails to meet the third criterion.,no,"While the paper discusses dopaminergic systems relevant to psychosis, it does not measure the specific primary outcomes (locomotor activity, PPI) or secondary outcomes required by the criteria. The focus is on molecular imaging findings rather than behavioral or experimental measures.",no,"The abstract does not describe any control groups or experimental conditions. As this is a review paper, it does not include the required control interventions.",no,"This is explicitly described as a review paper (""We selectively review...""), not an original experimental study using animal models.",Exclude,"The systematic review's screening criteria require an original experimental animal study investigating TAAR1 agonists with specific behavioral and neurobiological outcomes. This molecular imaging review of human dopamine systems fundamentally differs from the required research design, failing to meet any of the predefined screening criteria. The paper's focus on human molecular imaging and theoretical dopamine hypotheses places it entirely outside the scope of the systematic review.",0.1
Biochemical and Functional Characterization of the Trace Amine-Associated Receptor 1 (TAAR1) Agonist RO5263397,"S. Espinoza, D. Leo, T. Sotnikova, M. Shahid, T. Kääriäinen, R. Gainetdinov",10.3389/fphar.2018.00645,https://doi.org/10.3389/fphar.2018.00645,Frontiers in Pharmacology,29,2018,maybe,"The study includes both in vitro (HEK293 cells) and in vivo experiments. While the in vivo component meets this criterion, the mixed nature of the study makes it partially compliant.",no,"The abstract mentions using ""mice lacking the dopamine transporter"" and studying ""high dopamine-dependent hyperactivity."" This appears to be a genetic model rather than an induced psychosis model as specified in the criteria. The study doesn't clearly demonstrate the use of standard psychosis models like psychostimulant or NMDA antagonist administration.",yes,"The study uses RO5263397, which is explicitly described as a ""selective TAAR1 agonist."" This clearly meets the criterion for TAAR1 agonist intervention.",maybe,"The study measures locomotor activity (hyperactivity), which is one of the co-primary outcomes specified. However, it doesn't mention prepulse inhibition (PPI), the other required co-primary outcome. The study focuses more on antidepressant-like effects and molecular signaling pathways.",maybe,"The abstract doesn't explicitly describe the control conditions used in the in vivo experiments. While it mentions comparing effects with fluoxetine, it's unclear if there were vehicle controls or standard antipsychotic controls as required by the criteria.",yes,"This is an original experimental study using animal models, meeting this criterion.",Include,"The study partially meets screening criteria with its use of a TAAR1 agonist and original experimental design, but falls short in key areas such as psychosis model induction and comprehensive outcome measurement. Specifically, the research lacks a standard psychosis model and only addresses one of the two required co-primary behavioral outcomes, which limits its alignment with the systematic review's strict inclusion criteria.",2.8
"TAAR1 activation modulates monoaminergic neurotransmission, preventing hyperdopaminergic and hypoglutamatergic activity","F. Revel, J. Moreau, R. Gainetdinov, A. Bradaia, T. Sotnikova, Roland Mory, S. Durkin, K. G. Zbinden, R. Norcross, C. A. Meyer, Veit Metzler, S. Chaboz, L. Ozmen, G. Trube, B. Pouzet, B. Bettler, M. Caron, J. Wettstein, M. Hoener",10.1073/pnas.1103029108,https://doi.org/10.1073/pnas.1103029108,Proceedings of the National Academy of Sciences of the United States of America,323,2011,yes,"The study includes in vivo controlled experiments using mice and rats, which meets the requirement for in vivo controlled experiments.",yes,"The study uses animal models with induced psychosis-like features, including cocaine-treated mice, dopamine transporter knockout mice, and NMDA antagonist-treated animals, which meets the requirement for animal models of psychosis.",yes,"The study investigates RO5166017, a selective TAAR1 agonist, which meets the requirement for investigating compounds/medications acting as TAAR1 agonists.",maybe,"The study includes locomotor activity (hyperlocomotion) as an outcome, but does not explicitly mention prepulse inhibition (PPI), which is one of the required co-primary outcomes. This creates some uncertainty about whether the study fully meets the outcomes criterion.",maybe,"The study includes comparisons with wild-type vs. Taar1−/− mice and vehicle controls, which meets the requirement for control interventions.",yes,"The study is an original experimental study using animal models, which meets the requirement for primary research type.",Include,"The study demonstrates a comprehensive experimental approach using animal models with induced psychosis-like features, investigating a selective TAAR1 agonist through controlled in vivo experiments. While meeting most screening criteria, the research shows some uncertainty regarding the specific primary outcome measures, particularly the absence of explicit prepulse inhibition testing. The investigation provides robust evidence of TAAR1 agonist effects on monoamine-driven behaviors and potential antipsychotic properties.",4.3
Trace Amine Associated Receptor 1 (TAAR1) Modulation of Food Reward,"C. Moore, V. Sabino, P. Cottone",10.3389/fphar.2018.00129,https://doi.org/10.3389/fphar.2018.00129,Frontiers in Pharmacology,22,2018,no,"The abstract appears to be a review paper rather than an experimental study, as it is clearly presented as a review summarizing evidence (""This review summarizes..."").",no,"While the abstract discusses animal research implicitly, it does not specifically focus on animal models of psychosis. Instead, it focuses on eating disorders and obesity models.",maybe,"The abstract does mention a TAAR1 agonist (RO5256390), which aligns with this criterion. However, the intervention is studied in the context of eating behavior rather than psychosis.",no,"The outcomes discussed in the abstract (food reinforcement, binge-like eating, compulsive-like eating) do not match the required primary outcomes (locomotor activity and prepulse inhibition). While there is some discussion of neurobiological measures (dopaminergic and glutamatergic signaling), these are secondary outcomes and not in the context of psychosis.",no,The abstract does not provide any information about control groups or experimental design details.,no,"This is explicitly a review paper (""This review summarizes...""), not an original experimental study.",Exclude,"The abstract describes a review paper on eating disorders and TAAR1 signaling, which fundamentally differs from the required systematic review criteria focused on animal models of psychosis. Key disqualifying factors include the paper's review nature, focus on eating behaviors instead of psychosis, and misalignment with specified primary and secondary outcomes. The research does not meet the essential screening requirements for inclusion in the systematic review.",0.1
The selective antagonist EPPTB reveals TAAR1-mediated regulatory mechanisms in dopaminergic neurons of the mesolimbic system,"A. Bradaia, G. Trube, H. Stalder, R. Norcross, L. Ozmen, J. Wettstein, A. Pinard, D. Buchy, M. Gassmann, M. Hoener, B. Bettler",10.1073/pnas.0906522106,https://doi.org/10.1073/pnas.0906522106,Proceedings of the National Academy of Sciences of the United States of America,228,2009,maybe,"The study includes in vivo experiments using both wild-type and Taar1 knockout mice, with controlled conditions comparing different interventions, which meets the requirement for in vivo controlled experiments.",no,"The abstract does not indicate that these are ""animal models of psychosis"" and does not mention any specific psychosis induction methods (e.g., psychostimulants or NMDA antagonists).",no,"The study focuses on EPPTB, which is a TAAR1 antagonist, not an agonist. The abstract mentions p-tyramine as a non-selective TAAR1 agonist but uses it only to demonstrate EPPTB's antagonist properties, not as an intervention.",no,"The study measures firing frequency of DA neurons, K+ current activation, and DA potency at D2 receptors, but does not measure the required co-primary outcomes (locomotor activity and PPI of acoustic startle reflex) or the specified secondary outcomes.",no,"While the study includes control conditions (Taar1 knockout mice), these are not the specific types of controls required by the criteria (psychosis model receiving vehicle or current antipsychotics).",yes,This is an original experimental study using animal models.,Exclude,"The study fails to meet multiple critical screening criteria, specifically lacking a psychosis model induction, using a TAAR1 antagonist instead of an agonist, and not measuring the required primary outcomes of locomotor activity and prepulse inhibition. While the research represents a rigorous experimental study using animal models, it does not align with the systematic review's specific focus on TAAR1 agonists in psychosis models.",1.4
Ulotaront: A TAAR1 Agonist for the Treatment of Schizophrenia,"Michele L R Heffernan, L. Herman, Scott Brown, Philip G. Jones, Liming Shao, M. Hewitt, J. E. Campbell, N. Dedic, S. Hopkins, K. Koblan, L. Xie",10.1021/acsmedchemlett.1c00527,https://doi.org/10.1021/acsmedchemlett.1c00527,ACS Medicinal Chemistry Letters,47,2021,no,"The abstract does not describe any in vivo controlled experiments. It appears to focus on receptor binding studies and molecular modeling, which does not meet the requirement for in vivo controlled experiments.",no,"The abstract does not mention any animal models of psychosis or methods of psychosis induction. While ulotaront is being developed for schizophrenia, no animal experiments are described in the abstract.",maybe,"While the paper does discuss a TAAR1 agonist (ulotaront), which matches the intervention of interest, it appears to be studying the compound's binding properties and structure-activity relationships rather than its effects in animal models.",no,"None of the primary or secondary outcomes (locomotor activity, PPI, behavioral assays, dropouts, adverse events, or neurobiological measures) are mentioned in the abstract. The focus appears to be on molecular interactions and modeling.",no,"No control interventions are mentioned in the abstract, as this appears to be a molecular/structural study rather than an animal experiment.",no,"While this is original research, it appears to be a molecular/structural study rather than an experimental animal study. The abstract suggests this is primarily an in vitro receptor binding study with computational modeling.",Exclude,"The abstract describes a molecular and computational study of a TAAR1 agonist, focusing on receptor interactions and structural modeling, which fundamentally lacks the required in vivo controlled experiments with animal models of psychosis. Critical screening criteria are not met, including absence of behavioral outcomes, animal model induction, and experimental interventions specified in the systematic review protocol. The research represents a molecular characterization that does not align with the systematic review's methodological requirements.",0.1
Trace Amine-Associated Receptors as Emerging Therapeutic Targets,"T. Sotnikova, M. Caron, R. Gainetdinov",10.1124/mol.109.055970,https://doi.org/10.1124/mol.109.055970,Molecular Pharmacology,100,2009,no,"The abstract does not describe any specific in vivo controlled experiments, and instead appears to be a review paper rather than an original experimental study.",no,"While the abstract mentions studies with knockout mice, it does not describe any specific psychosis model induction. The paper appears to be discussing TAAR1 biology in general rather than specifically in the context of psychosis models.",no,The paper discusses TAAR1 agonists conceptually but does not appear to test specific TAAR1 agonist compounds experimentally. It mentions potential future applications of TAAR1 agonists rather than studying them directly.,no,None of the primary outcomes (locomotor activity or PPI) are explicitly mentioned. The abstract discusses general monoaminergic processes and movement but not in the context of specific behavioral measurements.,no,"No specific control interventions are described in the abstract. While knockout mice are mentioned, the abstract doesn't detail specific experimental and control groups.",no,"This appears to be a review paper rather than an original experimental study, which is a clear exclusion criterion.",Exclude,"The abstract represents a review of TAAR1 biology that lacks the required experimental design elements for inclusion, specifically missing controlled in vivo experiments, psychosis model induction, and direct testing of TAAR1 agonists. Critical screening criteria such as specific behavioral outcomes, experimental interventions, and control groups are not addressed, rendering the paper ineligible for the systematic review. The text is fundamentally a conceptual overview rather than an original experimental study targeting psychosis models.",0.1
"Discovery and In Vivo Efficacy of Trace Amine-Associated Receptor 1 (TAAR1) Agonist 4-(2-Aminoethyl)-N-(3,5-dimethylphenyl)piperidine-1-carboxamide Hydrochloride (AP163) for the Treatment of Psychotic Disorders","M. Krasavin, Anatoly Peshkov, A. Lukin, Kristina S Komarova, Lyubov V. Vinogradova, Daria Smirnova, E. Kanov, S. Kuvarzin, R. Murtazina, E. Efimova, M. Gureev, K. Onokhin, K. Zakharov, R. Gainetdinov",10.3390/ijms231911579,https://doi.org/10.3390/ijms231911579,International Journal of Molecular Sciences,7,2022,yes,"The study includes in vivo controlled experiments, testing compounds in DAT-KO rats, which meets the criterion for in vivo controlled experiments.",maybe,"The study uses DAT-KO (dopamine transporter knockout) rats, which is a genetic model of dopamine-dependent hyperlocomotion. While this is a psychosis-related model, it's not explicitly mentioned if it's used to study psychosis-like features. However, the abstract mentions potential treatment for schizophrenia, suggesting it's used as a psychosis model.",yes,"The study investigates compounds with TAAR1 agonist activity, specifically mentioning EC50 values for TAAR1 agonistic activity, which meets the criterion for investigating TAAR1 agonists.",maybe,"The study measures locomotor activity (hyperlocomotion), which is one of the co-primary outcomes specified. However, it doesn't mention PPI or other required secondary outcomes.",maybe,"The abstract doesn't explicitly describe the control groups used. While it mentions ""statistically significant"" results, suggesting some form of control, the details of the control groups are not provided.",yes,This is clearly an original experimental study using animal models.,Include,"The study investigates TAAR1 agonist compounds in a dopamine transporter knockout rat model, demonstrating potential for treating schizophrenia-related disorders through in vivo experimental design. While the research meets several key screening criteria, including experimental interventions and primary research type, there are uncertainties regarding control group specifications and comprehensive outcome measurements. The investigation provides promising initial insights into novel pharmacological approaches targeting dopaminergic dysfunction.",4
Trace Amine-Associated Receptor 1 (TAAR1): Molecular and Clinical Insights for the Treatment of Schizophrenia and Related Comorbidities.,"Pramod C. Nair, J. Chalker, R. Mckinnon, C. Langmead, K. Gregory, T. Bastiampillai",10.1021/acsptsci.2c00016,https://doi.org/10.1021/acsptsci.2c00016,ACS Pharmacology & Translational Science,22,2022,no,"The abstract does not describe any experimental study - it appears to be a viewpoint/review article providing an ""overview"" of TAAR1. This clearly fails to meet the criterion requiring in vivo controlled experiments.",no,"The abstract does not mention any animal models or experimental work. While it discusses schizophrenia treatment, it does so from a theoretical/review perspective rather than describing actual animal studies.",no,"While the abstract discusses TAAR1 agonists conceptually, it does not describe any specific experimental interventions or studies testing these compounds. It only discusses their potential therapeutic value theoretically.",no,"No specific outcomes or measurements are described in the abstract. While it mentions potential benefits for symptoms and substance abuse comorbidity, these are discussed as theoretical benefits rather than measured outcomes.",no,No control interventions are mentioned as this is not an experimental study.,no,"The abstract explicitly presents itself as a ""viewpoint"" providing an ""overview"" of TAAR1, making it clear this is a review/opinion piece rather than primary experimental research.",Exclude,"This viewpoint article discussing TAAR1 in schizophrenia treatment fails to meet the screening criteria for experimental research, as it lacks any description of in vivo controlled experiments, animal models, specific interventions, control groups, or measured outcomes. The text is a theoretical overview rather than a primary research study involving animal models of psychosis, which disqualifies it from the specified inclusion requirements.",0.1
Therapeutic Potential of TAAR1 Agonists in Schizophrenia: Evidence from Preclinical Models and Clinical Studies,"N. Dedic, H. Dworak, C. Zeni, G. Rutigliano, O. Howes",10.3390/ijms222413185,https://doi.org/10.3390/ijms222413185,International Journal of Molecular Sciences,68,2021,no,"The paper is a review paper rather than a primary experimental study, and does not present original controlled experiments.",maybe,"The paper discusses studies in ""rodents and non-human primates"" and ""glutamatergic, dopaminergic and genetic models,"" but does not describe specific animal models or induction methods.",maybe,"The paper discusses TAAR1 agonists and their effects, including specific compounds like ulotaront and ralmitaront, but is reviewing these rather than conducting original experiments.",no,"The paper mentions behavioral measures and effects, but does not specifically focus on the required co-primary outcomes of locomotor activity and PPI.",no,"The paper does not describe specific control groups or experimental conditions, and only mentions comparing TAAR1 agonists with antipsychotics in the context of reviewing existing literature.",no,"The paper is explicitly a review paper, not an original experimental study.",Exclude,"This review paper fails to meet multiple screening criteria, particularly the requirements for original experimental research with controlled animal models. The abstract describes a comprehensive review of TAAR1 agonists in neuropsychiatric disorders, but lacks the specific experimental design, animal model details, and primary outcome measurements necessary for inclusion in the systematic review. Consequently, the paper does not satisfy the fundamental methodological requirements for the study.",0.1
